Key,spanish
ulmResourceEngineV6,"Motor de buggy"
ulmResourceEngineV6Desc,"Motor de combustión interna de un buggy Dune Runner. Se utiliza para generar energía o para fabricar un Dune Runner."
ulmResourceEngineV8M,"Motor de motocicleta"
ulmResourceEngineV8MDesc,"Motor de combustión interna de tamaño medio. Utilizado para la generación de energía."
ulmResourceEngineV8,"Motor de coche"
ulmResourceEngineV8Desc,"Motor de combustión interna de tamaño medio. Utilizado para la generación de energía."
ulmResourceEngineV12,"Motor de camión"
ulmResourceEngineV12Desc,"Gran motor de combustión interna. Utilizado para la generación de energía."
ulmResourceFirewood,"Leña"
ulmResourceFirewoodDesc,"La fuente de combustible más conocida para hacer fuego."
ulmResourceForgedTitanium,"Placa de titanio"
ulmResourceForgedTitaniumDesc,"Se utiliza en la construcción de artículos y bloques avanzados."
ulmResourceFuelBrick,"Briqueta"
ulmResourceFuelBrickDesc,"Un bloque de madera condensada hecho principalmente de madera de desecho, que arde excepcionalmente bien."
ulmResourceGears,"Engranajes"
ulmResourceGearsDesc,"Suele acoplarse a otra pieza dentada para transmitir el giro."
ulmResourceGlass,"Vidrio"
ulmResourceGlassDesc,"Sólido amorfo transparente con amplios usos prácticos, tecnológicos y decorativos. Con él se pueden fabricar diversas botellas de vidrio, ventanas, etc."
ulmResourceGyrocopterWheel,"Rueda de girocóptero"
ulmResourceGyrocopterWheelDesc,"Rueda de girocóptero estándar"
ulmResourceGyrocopterWheelBlueprint,"Rueda de girocóptero"
ulmResourceGyrocopterWheelBlueprintDesc,"Instrucciones sobre cómo hacer una [decea3]rueda de girocóptero[-]."
ulmResourceHandleWood,"Mango de madera"
ulmResourceHandleWoodDesc,"Se utiliza en la creación de picos, piquetas y hachas."
ulmResourceHingeBrass,"Bisagra de latón"
ulmResourceHingeBrassDesc,"Bisagra duradera para conectar dos objetos sólidos, permitiendo la rotación entre ellos."
ulmResourceHingeIron,"Bisagra de hierro"
ulmResourceHingeIronDesc,"Bisagra de hierro duradera para conectar dos objetos sólidos, permitiendo la rotación entre ellos."
ulmResourceHingeSteel,"Bisagra de acero"
ulmResourceHingeSteelDesc,"Bisagra muy duradera para conectar dos objetos sólidos, permitiendo la rotación entre ellos."
ulmResourceHoney,"Panal de abeja"
ulmResourceHoneyDesc,"Para obtener miel utilizable, hay que procesarla en la [decea3]hoguera[-]."
ulmResourceIngotBrass,"Lingote de latón"
ulmResourceIngotBrassDesc,"Un lingote de latón denso. ¿Me pregunto cuántas balas puedo hacer con esto?."
ulmResourceIngotCopper,"Lingote de cobre"
ulmResourceIngotCopperDesc,"Un lingote de cobre denso. Metal común utilizado en los componentes eléctricos para conducir la electricidad."
ulmResourceIngotCrudeIron,"Lingote de hierro en bruto"
ulmResourceIngotCrudeIronDesc,"Un lingote de hierro denso de calidad bruta. Metal común utilizado en la forja básica de metales en bruto."
ulmResourceIngotGold,"Lingote de oro"
ulmResourceIngotGoldDesc,"Un lingote de oro denso."
ulmResourceIngotIron,"Lingote de hierro"
ulmResourceIngotIronDesc,"Un lingote denso, que puede ser procesado y moldeado en diferentes artículos."
ulmResourceIngotLead,"Lingote de plomo"
ulmResourceIngotLeadDesc,"Un lingote de plomo denso. La mejor manera de almacenar los metales es fundir los restos y luego transformarlos del estado líquido a un lingote para su almacenamiento a largo plazo."
ulmResourceIngotSilver,"Lingote de plata"
ulmResourceIngotSilverDesc,"Un lingote de plata denso."
ulmResourceIngotSteel,"Lingote de acero"
ulmResourceIngotSteelDesc,"Un lingote denso, que puede ser procesado y moldeado en diferentes artículos."
ulmResourceIngotTitanium,"Lingote de titanio"
ulmResourceIngotTitaniumDesc,"Se utiliza en la construcción de aleaciones a base de titanio."
ulmResourceIngotZinc,"Lingote de zinc"
ulmResourceIngotZincDesc,"Rara vez se utiliza en su forma pura, más comúnmente se encuentra como una aleación con otros metales, se puede utilizar en combinación de Cobre para fabricar Latón."
ulmResourceLightBulb,"Bombilla"
ulmResourceLightBulbDesc,"Bombilla polvorienta pero bien conservada."
ulmResourceLithiumBattery,"Batería de litio"
ulmResourceLithiumBatteryDesc,"Paquete de baterías compuesto por múltiples celdas de batería de litio más pequeñas. Funciona mejor que las baterías normales de plomo-ácido. Se puede utilizar como batería para una minimoto."
ulmResourceLithiumBatteryCells,"Pilas de litio"
ulmResourceLithiumBatteryCellsDesc,"Células de batería de litio pequeñas y compactas. Cada una de ellas proporciona muy poca potencia, pero combinadas en mayor número, pueden superar a las baterías de plomo-ácido. Se utiliza como batería alternativa para las minimotos."
ulmResourceMetalMesh,"Malla metálica"
ulmResourceMetalMeshDesc,"Malla metálica duradera. Se utiliza como refuerzo para la fabricación de vidrio a prueba de balas."
ulmResourceMinibikeRepairKit,"Kit de reparación para minimotos"
ulmResourceMinibikeRepairKitDesc,"Contiene todas las piezas necesarias para restaurar una minimoto en condiciones de funcionamiento."
ulmResourceMinibikeRepairKitBlueprint,"Kit de reparación para minimotos"
ulmResourceMinibikeRepairKitBlueprintDesc,"Instrucciones sobre cómo hacer un [decea3]kit de reparación para minimotos[-]."
ulmResourceMinibikeWheel,"Rueda de minimoto"
ulmResourceMinibikeWheelDesc,"Rueda de minimoto estándar"
ulmResourceMinibikeWheelBlueprint,"Rueda de minimoto"
ulmResourceMinibikeWheelBlueprintDesc,"Instrucciones sobre cómo hacer una [decea3]rueda de minimoto[-]."
ulmResourceMotorcycleRepairKit,"Kit de reparación de motos"
ulmResourceMotorcycleRepairKitDesc,"Contiene todas las piezas necesarias para restaurar una motocicleta en condiciones de funcionamiento."
ulmResourceMotorcycleRepairKitBlueprint,"Kit de reparación de motos"
ulmResourceMotorcycleRepairKitBlueprintDesc,"Instrucciones sobre cómo hacer una [decea3]kit de reparación de motos[-]."
ulmResourceMotorcycleWheel,"Rueda de motocicleta"
ulmResourceMotorcycleWheelDesc,"Rueda de moto"
ulmResourceMotorcycleWheelBlueprint,"Ruedas de motocicleta"
ulmResourceMotorcycleWheelBlueprintDesc,"Instrucciones sobre cómo hacer una [decea3]rueda de moto[-]."
ulmResourceNutsAndBolts,"Tuercas y tornillos"
ulmResourceNutsAndBoltsDesc,"Tuercas, tornillos y arandelas de varios tamaños."
ulmResourceOreCopper,"Mineral de cobre"
ulmResourceOreCopperDesc,"Un trozo de [decea3]mineral de cobre[-]. No es muy útil en su estado bruto, primero hay que refinarlo en el horno fundiéndolo y solidificándolo en un [decea3]lingote de cobre[-]."
ulmResourceOreIron,"Mineral de hierro"
ulmResourceOreIronDesc,"Un trozo de [decea3]mineral de hierro[-]. No es muy útil en su estado bruto, primero hay que refinarlo en el horno fundiéndolo y solidificándolo en un [decea3]lingote de hierro[-]."
ulmResourceOreLead,"Mineral de plomo"
ulmResourceOreLeadDesc,"Un trozo de [decea3]Mineral de plomo[-]. No es muy útil en su estado bruto, primero hay que refinarlo en el horno fundiéndolo y solidificándolo en un [decea3]Lingote de plomo[-]."
ulmResourceOrePotassiumNitrate,"Mineral de salitre"
ulmResourceOrePotassiumNitrateDesc,"Un trozo de mineral rico en [decea3]Nitrato de Potasio[-]. No es muy útil en su estado bruto, utiliza el [decea3]Mortero y Maja[-] para producir [decea3]Nitrato de Potasio en Polvo[-]."
ulmResourceOreStone,"Piedra grande"
ulmResourceOreStoneDesc,"Una piedra de gran tamaño, que puede utilizarse para hacer losas o adoquines."
ulmResourceOreSulfur,"Mineral de azufre"
ulmResourceOreSulfurDesc,"Se puede encontrar en pequeñas cantidades en las vetas de [decea3]Mineral de Salitre[-] y debe ser procesado posteriormente en [decea3]Mortero y Maja[-] para obtener [decea3]Polvo de Azufre[-], uno de los ingredientes de la pólvora."
ulmResourceOreTitanium,"Mineral de titanio"
ulmResourceOreTitaniumDesc,"Un trozo de [decea3]Mineral de Titanio[-]. No es muy útil en su estado bruto, primero hay que refinarlo en el horno fundiéndolo y solidificándolo en un [decea3]Lingote de Titanio[-]."
ulmResourceOreZinc,"Mineral de zinc"
ulmResourceOreZincDesc,"Un trozo de [decea3]Mineral de Zinc[-]. No es muy útil en su estado bruto, primero hay que refinarlo en el horno fundiéndolo y solidificándolo en un [decea3]Lingote de Zinc[-]."
ulmResourcePartsSMG,"Partes de SMG"
ulmResourcePartsSMGDesc,"Algunos trozos de lo que una vez fue una SMG."
ulmResourcePlank,"Tabla de madera"
ulmResourcePlankDesc,"Se utiliza en la mayoría de las recetas artesanales relacionadas con el trabajo de la madera. Se puede trabajar más eficazmente en el banco de trabajo con una sierra circular."
ulmResourcePoliceLights,"Luces de policía"
ulmResourcePoliceLightsDesc,"Puedes mejorar los coches de policía con esto"
ulmResourcePrimitiveRepairKit,"Kit de reparación primitivo"
ulmResourcePrimitiveRepairKitDesc,"Todas las piezas esenciales para reparar las herramientas de piedra o madera más básicas y primitivas."
ulmResourceRebarIron,"Barra de hierro"
ulmResourceRebarIronDesc,"Se utiliza en la construcción de armaduras y barras de hierro. También tiene otras aplicaciones."
ulmResourceRebarSteel,"Barra de acero"
ulmResourceRebarSteelDesc,"Se utiliza en la construcción de barras de acero."
ulmResourceRebarTitanium,"Varilla de titanio"
ulmResourceRebarTitaniumDesc,"Se utiliza en la construcción de artículos y bloques avanzados."
ulmResourceResearch,"Datos de investigación"
ulmResourceResearchDesc,"Una colección de valiosos datos de investigación. Cuando se reúnen suficientes datos, es posible investigar nuevos planos en la mesa de investigación."
ulmResourceResin,"Resina"
ulmResourceResinDesc,"Sustancia muy viscosa que se puede extraer de los árboles. A menudo son mezclas de compuestos orgánicos. Muchas plantas, especialmente las madereras, producen resina en respuesta a las lesiones."
ulmResourceRope,"Cuerda"
ulmResourceRopeDesc,"Se trata de trozos de fibra retorcidos o trenzados para formar una cuerda, mucho más fuerte que la fibra por sí sola."
ulmResourceScrapCopper,"Desechos de cobre"
ulmResourceScrapCopperDesc,"Se utiliza sobre todo en la fabricación de tubos e hilos de cobre."
ulmResourceScrapLeather,"Desechos de cuero"
ulmResourceScrapLeatherDesc,"Se utiliza para remendar la armadura de cuero. Repara [decea3]50[-] de durabilidad."
ulmResourceScrapOrganic,"Residuos orgánicos"
ulmResourceScrapOrganicDesc,"Sustancia mixta de materia orgánica que se utiliza para crear abono para el cultivo de la tierra."
ulmResourceScrapPlank,"Tablón roto"
ulmResourceScrapPlankDesc,"Un trozo de tablón roto. Si encuentras trozos similares, tal vez sea posible restaurarlo con pegamento."
ulmResourceScrapRubber,"Desechos de goma"
ulmResourceScrapRubberDesc,"El caucho de desecho se puede utilizar en la fabricación de ruedas de caucho y otros componentes."
ulmResourceScrapSteel,"Desechos de acero"
ulmResourceScrapSteelDesc,"Una colección de diversas placas, perfiles y paneles de acero recuperados. Obtenidos mediante el desguace de artículos, que en su mayoría están compuestos por acero como material base."
ulmResourceScrapTitanium,"Desechos de titanio"
ulmResourceScrapTitaniumDesc,"Se utiliza en la construcción de aleaciones a base de titanio."
ulmResourceScrapWires,"Alambre de chatarra"
ulmResourceScrapWiresDesc,"La mayoría de los aparatos electrónicos dependen de algún tipo de cableado eléctrico para que la electricidad pase de un componente a otro."
ulmResourceScrapWood,"Desechos de madera"
ulmResourceScrapWoodDesc,"Piezas de madera de tamaño pequeño a mediano formadas por el corte o astillado de piezas de madera más grandes como árboles, ramas, residuos de la tala, tocones, raíces, residuos de madera, etc."
ulmResourceStonePowder,"Polvo de piedra"
ulmResourceStonePowderDesc,"Piedra finamente molida"
ulmResourceSulfurPowder,"Polvo de azufre"
ulmResourceSulfurPowderDesc,"Se fabrica principalmente mediante el desguace de mineral de azufre, y se utiliza para fabricar pólvora."
ulmResourceTreeRepairKit,"Kit de reparación de árboles"
ulmResourceTreeRepairKitDesc,"Todas las piezas esenciales para reparar la mayoría de los árboles."
ulmResourceTruckRepairKit,"Kit de reparación de camiones"
ulmResourceTruckRepairKitDesc,"Contiene todas las piezas necesarias para restaurar un camión en condiciones de funcionamiento."
ulmResourceTruckRepairKitBlueprint,"Kit de reparación de camiones"
ulmResourceTruckRepairKitBlueprintDesc,"Instrucciones sobre cómo hacer una [decea3]kit de reparación de camiones[-]."
ulmResourceTruckWheel,"Rueda de camión"
ulmResourceTruckWheelDesc,"Rueda de camión genérica"
ulmResourceTruckWheelBlueprint,"Rueda de camión"
ulmResourceTruckWheelBlueprintDesc,"Instrucciones sobre cómo hacer una [decea3]rueda de camión[-]."
ulmResourceLumber,"Madera"
ulmResourceLumberDesc,"Puede transformarse en otros recursos como tablones, leña, etc."
ulmBookSniperRifles,"Rifles de francotirador"
ulmBookSniperRiflesDesc,"La lectura de este libro de habilidades aumentará tu nivel en la habilidad de acción [decea3]Rifles de francotirador[-] en [decea3]1[-]."
ulmBookArchery,"Arcos y ballestas"
ulmBookArcheryDesc,"La lectura de este libro de habilidades aumentará su nivel en [decea3]Arcos y ballestas[-] habilidad de acción por [decea3]1[-]."
ulmBookSpears,"Lanzas"
ulmBookSpearsDesc,"La lectura de este libro de habilidades aumentará su nivel en [decea3]Lanzas[-] habilidad de acción por [decea3]1[-]."
ulmBookLockPicking,"Forzado de cerraduras"
ulmBookLockPickingDesc,"La lectura de este libro de habilidades aumentará su nivel en [decea3]Forzado de cerraduras[-] habilidad de acción por [decea3]1[-]."
ulmBookLooting,"Saqueo"
ulmBookLootingDesc,"La lectura de este libro de habilidades aumentará su nivel en [decea3]Saqueo[-] habilidad de acción por [decea3]1[-]."
ulmBookButcher,"Cosecha de animales"
ulmBookButcherDesc,"La lectura de este libro de habilidades aumentará su nivel en [decea3]Cosecha de animales[-] habilidad de acción por [decea3]1[-]."
ulmBookAssaultRifles,"Ametralladoras"
ulmBookAssaultRiflesDesc,"La lectura de este libro de habilidades aumentará su nivel en [decea3]Ametralladoras[-] habilidad de acción por [decea3]1[-]."
ulmBookClubs,"Garrotes"
ulmBookClubsDesc,"La lectura de este libro de habilidades aumentará su nivel en [decea3]Garrotes[-] habilidad de acción por [decea3]1[-]."
ulmBookSledgehammers,"Mazos"
ulmBookSledgehammersDesc,"La lectura de este libro de habilidades aumentará su nivel en [decea3]Mazos[-] habilidad de acción por [decea3]1[-]."
ulmBookAxes,"Herramientas para cortar madera"
ulmBookAxesDesc,"La lectura de este libro de habilidades aumentará su nivel en [decea3]Herramientas para cortar madera[-] habilidad de acción por [decea3]1[-]."
ulmBookShovels,"Herramientas para cavar"
ulmBookShovelsDesc,"La lectura de este libro de habilidades aumentará su nivel en [decea3]Herramientas para cavar[-] habilidad de acción por [decea3]1[-]."
ulmBookMining,"Herramientas de minería"
ulmBookMiningDesc,"La lectura de este libro de habilidades aumentará su nivel en [decea3]Herramientas de minería[-] habilidad de acción por [decea3]1[-]."
ulmBookShotguns,"Escopetas"
ulmBookShotgunsDesc,"La lectura de este libro de habilidades aumentará su nivel en [decea3]Escopetas[-] habilidad de acción por [decea3]1[-]."
ulmBookBrawler,"Luchador"
ulmBookBrawlerDesc,"La lectura de este libro de habilidades aumentará su nivel en [decea3]Luchador[-] habilidad de acción por [decea3]1[-]."
ulmBookResistHeat,"Resistencia al calor"
ulmBookResistHeatDesc,"La lectura de este libro de habilidades aumentará su nivel en [decea3]Resistencia al calor[-] habilidad de acción por [decea3]1[-]."
ulmBookResistCold,"Resistencia al frío"
ulmBookResistColdDesc,"La lectura de este libro de habilidades aumentará su nivel en [decea3]Resistencia al frío[-] habilidad de acción por [decea3]1[-]."
ulmBookResistPain,"Resistencia al dolor"
ulmBookResistPainDesc,"La lectura de este libro de habilidades aumentará su nivel en [decea3]Resistencia al dolor[-] habilidad de acción por [decea3]1[-]."
ulmBookHealing,"Sanación"
ulmBookHealingDesc,"La lectura de este libro de habilidades aumentará su nivel en [decea3]Sanación[-] habilidad de acción por [decea3]1[-]."
ulmBookHandguns,"Pistolas"
ulmBookHandgunsDesc,"La lectura de este libro de habilidades aumentará su nivel en [decea3]Pistolas[-] habilidad de acción por [decea3]1[-]."
ulmBookBlades,"Cuchillos y espadas"
ulmBookBladesDesc,"La lectura de este libro de habilidades aumentará su nivel en [decea3]Cuchillos y espadas[-] habilidad de acción por [decea3]1[-]."
ulmBookAthletics,"Atletismo"
ulmBookAthleticsDesc,"La lectura de este libro de habilidades aumentará su nivel en [decea3]Atletismo[-] habilidad de acción por [decea3]1[-]."
ulmBookSneaking,"Sigiloso"
ulmBookSneakingDesc,"La lectura de este libro de habilidades aumentará su nivel en [decea3]Sigiloso[-] habilidad de acción por [decea3]1[-]."
ulmBookAssasin,"Asesino"
ulmBookAssasinDesc,"La lectura de este libro de habilidades aumentará su nivel en [decea3]Asesino[-] habilidad de acción por [decea3]1[-]."
ulmBookSubmachineGuns,"Subfusiles"
ulmBookSubmachineGunsDesc,"La lectura de este libro de habilidades aumentará su nivel en [decea3]Subfusiles[-] habilidad de acción por [decea3]1[-]."
ulmBookShockers,"Garrotes"
ulmBookShockersDesc,"La lectura de este libro de habilidades aumentará su nivel en [decea3]Garrotes[-] habilidad de acción por [decea3]1[-]."
ulmBookTrading,"Comercio"
ulmBookTradingDesc,"La lectura de este libro de habilidades aumentará su nivel en [decea3]Comercio[-] habilidad de acción por [decea3]1[-]."
ulmBookQuesting,"Misiones"
ulmBookQuestingDesc,"La lectura de este libro de habilidades aumentará su nivel en [decea3]Misiones[-] habilidad de acción por [decea3]1[-]."
ulmBookSalvaging,"Herramientas de desguazado"
ulmBookSalvagingDesc,"La lectura de este libro de habilidades aumentará su nivel en [decea3]Herramientas de desguazado[-] habilidad de acción por [decea3]1[-]."
ulmBookStrength,"Levantamiento de peso"
ulmBookStrengthDesc,"La lectura de este libro de habilidades aumentará su nivel en [decea3]Levantamiento de peso[-] habilidad de acción por [decea3]1[-]."
ulmToolBerserkerDrill,"Taladro Valkiria"
ulmToolBerserkerDrillDesc,"[decea3]+200%[-] más de daño al mineral, asfalto y [decea3]+120%[-] más de daño a la tierra."
ulmToolBerserkerDrillBlueprint,"Taladro Valkiria"
ulmToolBerserkerDrillBlueprintDesc,"Te permite aprender una nueva receta de elaboración. Si ya se sabe, da XP cuando se usa".
ulmToolBoneSaw,"Sierra para huesos"
ulmToolBoneSawDesc,"Una tosca sierra para huesos diseñada para cortar los cadáveres de animales en partes más pequeñas."
ulmMeleeAxeCarpenters,"Hacha de carpintero"
ulmMeleeAxeCarpentersDesc,"[decea3]+200%[-] más daño a los árboles."
ulmToolFryingPan,"Sartén"
ulmToolFryingPanDesc,"Una vieja sartén. Bastante pesada y desequilibrada para ser usada como arma, pero si es lo único disponible, podría salvar tu vida."
ulmToolHammerWood,"Martillo de madera"
ulmToolHammerWoodDesc,"El martillo de madera más básico para trabajos de carpintería. Se puede utilizar para reparar o mejorar los bloques."
ulmToolJackhammer,"Martillo neumático"
ulmToolJackhammerDesc,"[decea3]+200%[-] más daño al mineral y al asfalto. ¡Apunta a las rocas o al hormigón y mantenlo firme para aplastarlos en segundos!"
ulmToolJackhammerBlueprint,"Martillo neumático"
ulmToolJackhammerBlueprintDesc,"Te permite aprender una nueva receta de elaboración. Si ya se sabe, da XP cuando se usa".
ulmToolMoldBrick,"Molde para ladrillos"
ulmToolMoldBrickDesc,"Molde para dar forma a la arcilla en ladrillos."
ulmToolMoldGlass,"Molde de placa"
ulmToolMoldGlassDesc,"Molde en el que la arena líquida, el vidrio o el metal se solidifican en placas sólidas."
ulmToolMoldIngot,"Molde para lingotes"
ulmToolMoldIngotDesc,"Molde en el que los metales líquidos se solidifican en lingotes."
ulmToolPickaxeIceBreaker,"Pico rompehielos"
ulmToolPickaxeIceBreakerDesc,"[decea3]+100%[-] más daño al mineral y al asfalto. Normalmente esta herramienta se utiliza para romper el hielo, pero supuestamente también podría utilizarse para extraer algunas rocas o minerales."
ulmToolPickaxeScrapIron,"Pico de chatarra"
ulmToolPickaxeScrapIronDesc,"[decea3]+100%[-] más daño al mineral y al asfalto. Pieza de chatarra de forma tosca con una punta puntiaguda que se asemeja a un pico con una durabilidad cuestionable."
ulmToolPickaxeStone,"Pico de piedra"
ulmToolPickaxeStoneDesc,"[decea3]+100%[-] más daño al mineral y al asfalto. Puede parecer ilógico golpear piedra contra piedra, pero con fuerza bruta y suerte, podrías sacar algunas rocas con esta herramienta minera tan primitiva."
ulmToolPickaxeTitanium,"Pico de titanio"
ulmToolPickaxeTitaniumDesc,"[decea3]+100%[-] más daño al mineral y al asfalto. Hecho de metal de titanio muy duradero, utilizado principalmente para extraer rocas o minerales."
ulmToolPickaxeTitaniumBlueprint,"Pico de titanio"
ulmToolPickaxeTitaniumBlueprintDesc,"Te permite aprender una nueva receta de elaboración. Si ya se sabe, da XP cuando se usa".
ulmToolSaw,"Sierra"
ulmToolSawDesc,"Apenas puede cortar la madera, pero aún puede ser útil."
ulmToolShovelScrapIron,"Pala de chatarra"
ulmToolShovelScrapIronDesc,"Ensamblado con varios trozos de chatarra. Debería funcionar mejor que un trozo de roca atado a un palo con una cuerda."
ulmToolShovelTitanium,"Pala de titanio"
ulmToolShovelTitaniumDesc,"La herramienta más lujosa para cavar en la tierra, la arena o la nieve."
ulmQualityUnlocksGroupDesc,"Una colección de datos de investigación para mejorar tus habilidades de artesanía y elaborar artículos de mejor calidad en esta categoría.\n\n[decea3]¡Los niveles anteriores de esta investigación deben ser aprendidos antes de su uso![-]"
ulmDebuffEncumbered,"Sobrecargado"
ulmDebuffEncumberedDesc,"Llevas más de lo que tu cuerpo y tu equipo pueden soportar. Mientras estés cargado, tu movilidad y tu fuerza de salto disminuirán, y cuanto más cargado estés, más fuerte será el efecto. Demasiado estrés en el cuerpo puede causar problemas a largo plazo, así que ten cuidado."
ulmBuffHercules,"Hercules"
ulmBuffHerculesDesc,"Su capacidad física para cargar más se ha incrementado en [decea3]200[-].\nSe combina con los efectos de los [decea3]esteroides[-]."
ulmBuffHoldHeavyWeapon,"Arma pesada"
ulmBuffHoldHeavyWeaponDesc,"Estás sosteniendo un arma pesada, reduciendo tu movimiento y salto en [decea3]25%[-]"
ulmBuffHoldMovementSpeed10,"Aumento de la velocidad"
ulmBuffHoldMovementSpeed10Desc,"Tienes un arma, que te hace caminar y correr más rápido por [decea3]10%[-]"
ulmBuffArmorDamagedHead,"Casco dañado"
ulmBuffArmorDamagedHeadDesc,"Tu [decea3]casco[-] está dañado."
ulmBuffArmorDamagedChest,"Armadura de pecho dañada"
ulmBuffArmorDamagedChestDesc,"Tu [decea3]Armadura de pecho[-] está dañado."
ulmBuffArmorDamagedHands,"Guantes dañados"
ulmBuffArmorDamagedHandsDesc,"Tus [decea3]Guantes[-] están dañados."
ulmBuffArmorDamagedLegs,"Armadura de pierna dañada"
ulmBuffArmorDamagedLegsDesc,"Tu [decea3]Armadura de pierna[-] está dañado."
ulmBuffArmorDamagedFeet,"Botas dañadas"
ulmBuffArmorDamagedFeetDesc,"Tus [decea3]Botas[-] están dañadas."
ulmBuffArmorBrokenHead,"Casco roto"
ulmBuffArmorBrokenHeadDesc,"Tu [decea3]Casco[-] está rota."
ulmBuffArmorBrokenChest,"Armadura de pecho rota"
ulmBuffArmorBrokenChestDesc,"Tu [decea3]Armadura de pecho[-] está rota."
ulmBuffArmorBrokenHands,"Guantes rotos"
ulmBuffArmorBrokenHandsDesc,"Tus [decea3]Gloves[-] están rotas.""
ulmBuffArmorBrokenLegs,"Armadura de pierna rota"
ulmBuffArmorBrokenLegsDesc,"Tu [decea3]Leg Armor[-] está rota."
ulmBuffArmorBrokenFeet,"Botas rotas"
ulmBuffArmorBrokenFeetDesc,"Tus [decea3]Boots[-] están rotas.""
attbooks,"Coleccionables"
skillCombatPerksName,"Combate"
skillAgilityAthleticsName,"Atletismo"
skillAgilityStealthName,"Sigilo"
skillIntellectInfluenceName,"Influencia"
skillIntellectCraftsmanshipName,"Carroñero"
ulm_AttAttributes,"Progresión"
ulm_AttAttributesDesc,"\n\n\n\n\n\n\n\n\n\n\nSeleccione una de las habilidades en el lado derecho para ver información más detallada sobre ella"
ulm_skill_placeholder,"Habilidad no disponible"
ulmAttributes,"Ventajas"
attActionSkills,"Habilidades"
ulmBooks,"Coleccionables"
reqSkillPoints1,"1 punto de habilidad"
reqSkillPoints2,"2 puntos de habilidad"
reqSkillPoints3,"3 puntos de habilidad"
actionPerkTipExp,"EXP"
actionPerkTipExpLong,"Experiencia actual"
actionPerkTipExpNext,"SIGUIENTE"
actionPerkTipExpNextLong,"Experiencia para subir de nivel"
actionSkillDeathPenalty,"Has sufrido una pérdida de memoria, como resultado algunas de tus\n[decea3]Habilidades de Acción[-] se han deteriorado en un nivel"
attPerceptionName,"Percepción"
attPerceptionDesc,"Domina las habilidades de [decea3]Percepción[-] más rápido, mejora el daño de los disparos a la cabeza y la probabilidad de desmembramiento para: [decea3]Fusiles de caza[-], [decea3]Fusiles de francotirador[-], [decea3]Arcos[-], [decea3]Ballestas[-] y [decea3]Lanzas[-]"
attPerceptionDesc01,"EXP en la habilidad: [decea3]+10%[-]\nDisparo en la cabeza: [decea3]+5%[-]\nProbabilidad de desmembramiento: [decea3]+2.5%[-]"
attPerceptionDesc02,"EXP en la habilidad: [decea3]+20%[-]\nDisparo en la cabeza: [decea3]+10%[-]\nProbabilidad de desmembramiento: [decea3]+5%[-]"
attPerceptionDesc03,"EXP en la habilidad: [decea3]+30%[-]\nDisparo en la cabeza: [decea3]+15%[-]\nProbabilidad de desmembramiento: [decea3]+7.5%[-]"
attPerceptionDesc04,"EXP en la habilidad: [decea3]+40%[-]\nDisparo en la cabeza: [decea3]+20%[-]\nProbabilidad de desmembramiento: [decea3]+10%[-]"
attPerceptionDesc05,"EXP en la habilidad: [decea3]+50%[-]\nDisparo en la cabeza: [decea3]+25%[-]\nProbabilidad de desmembramiento: [decea3]+12.5%[-]"
attPerceptionDesc06,"EXP en la habilidad: [decea3]+60%[-]\nDisparo en la cabeza: [decea3]+30%[-]\nProbabilidad de desmembramiento: [decea3]+15%[-]"
attPerceptionDesc07,"EXP en la habilidad: [decea3]+70%[-]\nDisparo en la cabeza: [decea3]+35%[-]\nProbabilidad de desmembramiento: [decea3]+17.5%[-]"
attPerceptionDesc08,"EXP en la habilidad: [decea3]+80%[-]\nDisparo en la cabeza: [decea3]+40%[-]\nProbabilidad de desmembramiento: [decea3]+20%[-]"
attPerceptionDesc09,"EXP en la habilidad: [decea3]+90%[-]\nDisparo en la cabeza: [decea3]+45%[-]\nProbabilidad de desmembramiento: [decea3]+22.5%[-]"
attPerceptionDesc10,"EXP en la habilidad: [decea3]+100%[-]\nDisparo en la cabeza: [decea3]+50%[-]\nProbabilidad de desmembramiento: [decea3]+25%[-]"
skillPerceptionGeneralName,"Caza"
skillPerceptionScavengingName,"Saqueador"
perkDeadEye1,"Los rifles de caza y de francotirador tienen un [decea3]5%[-] de más daño y mejor puntería, y recargan un [decea3]4%[-] más rápido."
perkDeadEye2,"Los rifles de caza y de francotirador tienen un [decea3]10%[-] de más daño y mejor puntería, y recargan un [decea3]8%[-] más rápido."
perkDeadEye3,"Los rifles de caza y de francotirador tienen un [decea3]15%[-] de más daño y mejor puntería, y recargan un [decea3]12%[-] más rápido. Apuntar consume un [decea3]10%[-] menos resistencia y las muertes sucesivas pueden desencadenar hasta un [decea3]30%[-] de daño extra."
perkDeadEye4,"Los rifles de caza y de francotirador tienen un [decea3]20%[-] de más daño y mejor puntería, y recargan un [decea3]16%[-] más rápido. Apuntar consume un [decea3]20%[-] menos resistencia y las muertes sucesivas pueden desencadenar hasta un [decea3]40%[-] de daño extra."
perkDeadEye5,"Los rifles de caza y de francotirador tienen un [decea3]25%[-] de más daño y mejor puntería, y recargan un [decea3]20%[-] más rápido. Apuntar consume un [decea3]30%[-] menos resistencia y las muertes sucesivas pueden desencadenar hasta un [decea3]50%[-] de daño extra."
perkArchery1,"Los arcos y las ballestas tienen un [decea3]5%[-] máx de daño, puntería, velocidad de extracción y recarga."
