Key,german
ulmBookAssasin,"Meuchelmörder"
ulmBookAssasinDesc,"Das Lesen dieses Fertigkeitsbuches erhöht deine Stufe in der Fertigkeit [decea3]Meuchelmörder[-] um [decea3]1[-]."
ulmBookSubmachineGuns,"Maschinenpistolen"
ulmBookSubmachineGunsDesc,"Das Lesen dieses Fertigkeitsbuches erhöht deine Stufe in der Fertigkeit [decea3]Maschinenpistolen[-] um [decea3]1[-]."
ulmBookShockers,"Schlagstöcke"
ulmBookShockersDesc,"Das Lesen dieses Fertigkeitsbuches erhöht deine Stufe in der Fertigkeit [decea3]Schlagstöcke[-] um [decea3]1[-]."
ulmBookTrading,"Handel"
ulmBookTradingDesc,"Das Lesen dieses Fertigkeitsbuches erhöht deine Stufe in der Fertigkeit [decea3]Handel[-] um [decea3]1[-]."
ulmBookQuesting,"Aufträge"
ulmBookQuestingDesc,"Das Lesen dieses Fertigkeitsbuches erhöht deine Stufe in der Fertigkeit [decea3]Aufträge[-] um [decea3]1[-]."
ulmBookSalvaging,"Bergungswerkzeuge"
ulmBookSalvagingDesc,"Das Lesen dieses Fertigkeitsbuches erhöht deine Stufe in der Fertigkeit [decea3]Bergungswerkzeug[-] um [decea3]1[-]."
ulmBookStrength,"Gewichtheben"
ulmBookStrengthDesc,"Das Lesen dieses Fertigkeitsbuches erhöht deine Stufe in der Fertigkeit [decea3]Gewichtheben[-] um [decea3]1[-]."
ulmBookMaintenanceBicycle,"Wartung von Fahrrädern"
ulmBookMaintenanceBicycleDesc,"Enthält alle notwendigen Informationen über den Bau, die Reparatur und die Wartung von Fahrrädern."
ulmBookMaintenanceMinibike,"Wartung von Minibikes"
ulmBookMaintenanceMinibikeDesc,"Enthält alle notwendigen Informationen zum Bau, zur Reparatur und zur Wartung von Minibikes, Mopeds und Motorrollern.\n[decea3](Bedingt Wartung von Fahrrädern)[-]"
ulmBookMaintenanceMotorcycle,"Wartung von Motorrädern"
ulmBookMaintenanceMotorcycleDesc,"Enthält alle notwendigen Informationen über den Bau, die Reparatur und die Wartung von Motorrädern.\n[decea3](Bedingt Wartung von Minibikes)[-]"
ulmBookMaintenanceCar,"Wartung von Autos"
ulmBookMaintenanceCarDesc,"Enthält alle notwendigen Informationen über die Reparatur und Wartung verschiedener Arten von Autos, Geländewagen und SUV's.\n[decea3](Bedingt Wartung von Motorrädern)[-]"
ulmBookMaintenanceVan,"Wartung von Lieferwagen"
ulmBookMaintenanceVanDesc,"Enthält alle notwendigen Informationen über die Reparatur und Wartung verschiedener Arten von Transportern/VAN's.\n[decea3](Bedingt Wartung von Autos)[-]"
ulmBookMaintenanceTruck,"Wartung von LKWs"
ulmBookMaintenanceTruckDesc,"Enthält alle notwendigen Informationen zur Reparatur und Wartung verschiedener Arten von mittelgrossen und großen Lastkraftwagen.\n[decea3](Bedingt Wartung von Lieferwagen)[-]"
ulmBookMaintenanceGyrocopter,"Wartung von Tragschraubern"
ulmBookMaintenanceGyrocopterDesc,"Enthält alle notwendigen Informationen zur Herstellung, Reparatur und Wartung eines Tragschraubers.\n[decea3](Bedingt Wartung von LKWs)[-]"
ulmBookMaintenancePlane,"Wartung von Flugzeugen"
ulmBookMaintenancePlaneDesc,"Enthält alle notwendigen Informationen zur Reparatur und Wartung verschiedener Arten von Flugzeugen.\n[decea3](Bedingt Wartung von Tragschraubern)[-]"
ulmBookMaintenanceHelicopter,"Wartung von Hubschraubern"
ulmBookMaintenanceHelicopterDesc,"Enthält alle notwendigen Informationen zur Reparatur und Wartung verschiedener Arten von Hubschraubern.\n[decea3](Bedingt Wartung von Flugzeugen)[-]"
ulmToolBerserkerDrill,"Walküren-Bohrer"
ulmToolBerserkerDrillDesc,"[decea3]+200%[-] mehr Schaden an Erz, Asphalt und [decea3]+120%[-] mehr Schaden an Erde."
ulmToolBerserkerDrillBlueprint,"Walküren-Bohrer"
ulmToolBoneSaw,"Knochensäge"
ulmToolBoneSawDesc,"Eine grobe Knochensäge, mit der man Tierkadaver in kleinere Teile zerlegen kann."
ulmMeleeAxeCarpenters,"Zimmermannsaxt"
ulmMeleeAxeCarpentersDesc,"[decea3]+200%[-] mehr Schaden an Bäumen."
ulmMeleeAxeCarpentersBlueprint,"Zimmermannsaxt"
ulmToolFryingPan,"Bratpfanne"
ulmToolFryingPanDesc,"Eine alte Bratpfanne. Ziemlich schwer und unausgewogen, um als Waffe verwendet zu werden, aber wenn sie das Einzige ist, was zur Verfügung steht, kann sie dir das Leben retten."
ulmToolHammerWood,"Holzhammer"
ulmToolHammerWoodDesc,"Der einfachste Holzhammer für Schreinerarbeiten. Kann zum Reparieren oder Verbessern von Blöcken verwendet werden."
ulmToolJackhammer,"Presslufthammer"
ulmToolJackhammerDesc,"[decea3]+200%[-] mehr Schaden an Erzen und Asphalt. Richte ihn auf Felsen oder Beton und halte ihn ruhig, um sie in Sekundenschnelle zu zerschlagen!"
ulmToolJackhammerBlueprint,"Presslufthammer"
ulmToolJackhammerBlueprintDesc,"Ermöglicht das Erlernen neuer Rezepte. Wenn es bereits bekannt ist, erhälst du stattdessen Erfahrungspunkte."
ulmToolMoldBrick,"Ziegelsteinform"
ulmToolMoldBrickDesc,"Form zum Formen von Ton zu Ziegeln."
ulmToolMoldGlass,"Plattenform"
ulmToolMoldGlassDesc,"Form, in der flüssiger Sand, Glas oder Metall zu festen Platten erstarren."
ulmToolMoldIngot,"Barrenform"
ulmToolMoldIngotDesc,"Form, in der flüssige Metalle zu Barren erstarren."
ulmToolPickaxeIceBreaker,"Eisbrecher-Spitzhacke"
ulmToolPickaxeIceBreakerDesc,"[decea3]+100%[-] mehr Schaden an Erzen und Asphalt. Normalerweise wird dieses Werkzeug zum Brechen von Eis verwendet, aber angeblich kann es auch zum Abbau von Gestein oder Erz verwendet werden."
ulmToolPickaxeScrapIron,"Schrottspitzhacke"
ulmToolPickaxeScrapIronDesc,"[decea3]+100%[-] mehr Schaden an Erz und Asphalt. Grob geformter Eisenschrott mit einer spitzen Spitze, die einer Spitzhacke ähnelt und deren Haltbarkeit fraglich ist."
ulmToolPickaxeScrapIronBlueprint,"Schrottspitzhacke"
ulmToolPickaxeStone,"Steinspitzhacke"
ulmToolPickaxeStoneDesc,"[decea3]+100%[-] mehr Schaden an Erz und Asphalt. Es mag unlogisch erscheinen, Stein gegen Stein zu schlagen, aber mit roher Gewalt und Glück kannst du mit diesem sehr primitiven Bergbauwerkzeug vielleicht ein paar Felsen abbauen."
ulmToolPickaxeTitanium,"Titanspitzhacke"
ulmToolPickaxeTitaniumDesc,"[decea3]+100%[-] mehr Schaden bei Erz und Asphalt. Hergestellt aus sehr haltbarem Titan, wird hauptsächlich zum Abbau von Felsen oder Erz verwendet."
ulmToolPickaxeTitaniumBlueprint,"Titanspitzhacke"
ulmToolSaw,"Säge"
ulmToolSawDesc,"Sie kann kaum Holz durchtrennen, aber sie kann trotzdem nützlich sein."
ulmToolShovelScrapIron,"Schrottschaufel"
ulmToolShovelScrapIronDesc,"Zusammengebaut aus verschiedenen Schrottteilen. Sollte besser funktionieren als ein Stück Stein, das mit einem Seil an einen Stock geschnallt ist."
ulmToolShovelScrapIronBlueprint,"Schrottschaufel"
ulmToolShovelTitanium,"Titanschaufel"
ulmToolShovelTitaniumDesc,"Das luxuriöseste Werkzeug, um sich durch Erde, Sand oder Schnee zu graben."
ulmToolShovelTitaniumBlueprint,"Titanschaufel"
ulmQualityUnlocksGroupDesc,"Eine Sammlung von Forschungsdaten zur Verbesserung deiner Handwerksfertigkeiten und zur Herstellung von Gegenständen besserer Qualität in dieser Kategorie.\n\n[decea3]Frühere Stufen dieser Forschung müssen vor der Verwendung erlernt werden!"
ulmDebuffEncumbered,"Überlastet"
ulmDebuffEncumberedDesc,"Du trägst mehr, als dein Körper und deine Ausrüstung verkraften können. Solange du belastet bist, werden deine Beweglichkeit und Sprungkraft in Mitleidenschaft gezogen, und je mehr du belastet bist, desto stärker ist der Effekt. Eine zu große Belastung des Körpers kann zu langfristigen Problemen führen, sei also vorsichtig."
ulmBuffHercules,"Herkules"
ulmBuffHerculesDesc,"Deine Belastbarkeit wurde um [decea3]200[-] erhöht. \nStapelbar mit dem [decea3]Steroide[-]-Effekt."
ulmBuffHoldHeavyWeapon,"Schwere Waffe"
ulmBuffHoldHeavyWeaponDesc,"Du hältst eine schwere Waffe in der Hand, die deine Bewegungen und Sprünge um [decea3]25%[-] reduziert."
ulmBuffHoldMovementSpeed10,"Erhöhte Geschwindigkeit"
ulmBuffHoldMovementSpeed10Desc,"Du hältst eine Waffe in der Hand, die dich um [decea3]10%[-] schneller gehen und laufen lässt."
ulmBuffPoisoned,"Vergiftung"
ulmBuffPoisonedDesc,"Du bist vergiftet.\n\nDer Nahkampfschaden wird um [decea3]10%[-] verringert, Ausdauerregeneration und Betäubungswiderstand werden um [decea3]20%[-] verringert. Beweglichkeit um [decea3]5%[-] verringert. Leichte Dehydrierung. Kann durch [decea3]Gegengift[-] geheilt werden.\n\nTödlich bei [decea3]100%[-], wenn nicht geheilt."
ulmBuffPoisonedUntreated,"Unbehandelte Vergiftung"
ulmBuffPoisonedUntreatedDesc,"Du bist stark vergiftet.\n\nDer Nahkampfschaden wird um [decea3]20%[-]verringert, Ausdauerregeneration und Betäubungswiderstand werden um [decea3]40%[-] verringert. Beweglichkeit um [decea3]10%[-] verringert. Starke Dehydrierung. Kann durch [decea3]Gegengift[-] geheilt werden.\n\nTödlich bei [decea3]100%[-], wenn nicht geheilt."
ulmBuffPoisonTreated,"Behandelte Vergiftung"
ulmBuffPoisonTreatedDesc,"Behandelte Vergiftung.\n\n[decea3]Vergiftung unter 50%:[-]\n [decea3]-7.5%[-] Nahkampfschaden\n [decea3]-15%[-] Ausdauerregeneration\n [decea3]-15%[-] Betäubungswiderstand\n [decea3]-2.5%[-] Beweglichkeit\n\n[decea3]Vergiftung über 50%:[-]\n [decea3]-15%[-] Nahkampfschaden\n [decea3]-30%[-] Ausdauerregeneration\n [decea3]-30%[-] Betäubungswiderstand\n [decea3]-5%[-] Beweglichkeit\n\n[decea3]100% Vergiftung:[-]\nTödlich"
ulmBuffPoisonTreatedTooltip,"Die Giftwirkung ist entsprechend behandelt, sodass der Schweregrad ihrer Auswirkungen verringert ist."
ulmBuffPoisonedTooltip,"[FF1919]Du bist vergiftet![-]"
ulmBuffArmorDamagedHead,"Beschädigte Kopfbedeckung"
ulmBuffArmorDamagedHeadDesc,"Deine [decea3]Kopfbedeckung[-] ist beschädigt."
ulmBuffArmorDamagedChest,"Beschädigter Brustpanzer"
ulmBuffArmorDamagedChestDesc,"Dein [decea3]Brustpanzer[-] ist beschädigt."
ulmBuffArmorDamagedHands,"Beschädigte Handschuhe"
ulmBuffArmorDamagedHandsDesc,"Deine [decea3]Handschuhe[-] sind beschädigt."
ulmBuffArmorDamagedLegs,"Beschädigter Beinpanzer"
ulmBuffArmorDamagedLegsDesc,"Dein [decea3]Beinpanzer[-] ist beschädigt."
ulmBuffArmorDamagedFeet,"Beschädigte Schuhe"
ulmBuffArmorDamagedFeetDesc,"Deine [decea3]Schuhe[-] sind beschädigt."
ulmBuffArmorBrokenHead,"Kaputte Kopfbedeckung"
ulmBuffArmorBrokenHeadDesc,"Deine [decea3]Kopfbedeckung[-] ist kaputt."
ulmBuffArmorBrokenChest,"Kaputter Brustpanzer"
ulmBuffArmorBrokenChestDesc,"Dein [decea3]Brustpanzer[-] ist kaputt."
ulmBuffArmorBrokenHands,"Kaputte Handschuhe"
ulmBuffArmorBrokenHandsDesc,"Deine [decea3]Handschuhe[-] sind kaputt."
ulmBuffArmorBrokenLegs,"Kaputter Beinpanzer"
ulmBuffArmorBrokenLegsDesc,"Dein [decea3]Beinpanzer[-] ist kaputt."
ulmBuffArmorBrokenFeet,"Kaputte Schuhe"
ulmBuffArmorBrokenFeetDesc,"Deine [decea3]Schuhe[-] sind kaputt."


attbooks,"Sammlerstücke"
skillCombatPerksName,"Kampf"
skillAgilityAthleticsName,"Athletik"
skillAgilityStealthName,"Tarnung"
skillIntellectInfluenceName,"Einfluss"
skillIntellectCraftsmanshipName,"Plündern"
ulm_AttAttributes,"Entwicklung"
ulm_AttAttributesDesc,"\n\n\n\n\n\n\n\n\n\n\n\n Wähle eine der Fertigkeiten auf der rechten Seite aus, um detailliertere Informationen darüber zu erhalten"
ulm_skill_placeholder,"Fertigkeit nicht verfügbar"
ulmAttributes,"Attribute"
attActionSkills,"Fertigkeiten"
ulmBooks,"Sammlerstücke"
reqSkillPoints1,"1 Fertigkeitspunkt"
reqSkillPoints2,"2 Fertigkeitspunkte"
reqSkillPoints3,"3 Fertigkeitspunkte"
actionPerkTipExp,"EXP"
actionPerkTipExpLong,"Aktuelle Erfahrung"
actionPerkTipExpNext,"NÄCHSTES"
actionPerkTipExpNextLong,"Erfahrung zum Aufstieg"
actionSkillDeathPenalty,"Du hast einen Gedächtnisverlust erlitten, wodurch sich einige deiner \n[decea3]Fertigkeiten[-] um eine Stufe verschlechtert haben."
attPerceptionName,"Wahrnehmung"
attPerceptionDesc,"Meistere [decea3]Wahrnehmungs[-]-Fertigkeiten schneller, verbessere Kopfschuss-Schaden und Chance zu Verstümmeln für: [decea3]Jagdgewehre[-], [decea3]Scharfschützengewehre[-], [decea3]Bögen[-], [decea3]Armbrüste[-] und [decea3]Speere[-]"
attPerceptionDesc01,"Fertigkeits-EXP [decea3]+10%[-]\nKopfschuss-Schaden [decea3]+5%[-]\nChance zu Verstümmeln [decea3]+2,5%[-]"
attPerceptionDesc02,"Fertigkeits-EXP [decea3]+20%[-]\nKopfschuss-Schaden [decea3]+10%[-]\nChance zu Verstümmeln [decea3]+5%[-]"
attPerceptionDesc03,"Fertigkeits-EXP [decea3]+30%[-]\nKopfschuss-Schaden [decea3]+15%[-]\nChance zu Verstümmeln [decea3]+7,5%[-]"
attPerceptionDesc04,"Fertigkeits-EXP [decea3]+40%[-]\nKopfschuss-Schaden [decea3]+20%[-]\nChance zu Verstümmeln [decea3]+10%[-]"
attPerceptionDesc05,"Fertigkeits-EXP [decea3]+50%[-]\nKopfschuss-Schaden [decea3]+25%[-]\nChance zu Verstümmeln [decea3]+12,5%[-]"
attPerceptionDesc06,"Fertigkeits-EXP [decea3]+60%[-]\nKopfschuss-Schaden [decea3]+30%[-]\nChance zu Verstümmeln [decea3]+15%[-]"
attPerceptionDesc07,"Fertigkeits-EXP [decea3]+70%[-]\nKopfschuss-Schaden [decea3]+35%[-]\nChance zu Verstümmeln [decea3]+17,5%[-]"
attPerceptionDesc08,"Fertigkeits-EXP [decea3]+80%[-]\nKopfschuss-Schaden [decea3]+40%[-]\nChance zu Verstümmeln [decea3]+20%[-]"
attPerceptionDesc09,"Fertigkeits-EXP [decea3]+90%[-]\nKopfschuss-Schaden [decea3]+45%[-]\nChance zu Verstümmeln [decea3]+22,5%[-]"
attPerceptionDesc10,"Fertigkeits-EXP [decea3]+100%[-]\nKopfschuss-Schaden [decea3]+50%[-]\nChance zu Verstümmeln [decea3]+25%[-]"
skillPerceptionGeneralName,"Jagen"
skillPerceptionScavengingName,"Plündern"
perkDeadEye1,"Jagd- und Scharfschützengewehre verursachen [decea3]5%[-] mehr Schaden, zielen besser und laden [decea3]4%[-] schneller nach."
perkDeadEye2,"Jagd- und Scharfschützengewehre verursachen [decea3]10%[-] mehr Schaden und zielen besser, und laden [decea3]8%[-] schneller nach"
perkDeadEye3,"Jagd- und Scharfschützengewehre verursachen [decea3]15%[-] mehr Schaden, zielen besser und laden [decea3]12%[-] schneller nach. Das Zielen verbraucht [decea3]10%[-] weniger Ausdauer und aufeinanderfolgende Kills können einen Bonusschaden von bis zu [decea3]30%[-] für die Kill-Serie auslösen."
perkDeadEye4,"Jagd- und Scharfschützengewehre verursachen [decea3]20%[-] mehr Schaden, zielen besser und laden [decea3]16%[-] schneller nach. Das Zielen verbraucht [decea3]20%[-] weniger Ausdauer und aufeinanderfolgende Kills können einen Bonusschaden von bis zu [decea3]40%[-] für die Kill-Serie auslösen."
perkDeadEye5,"Jagd- und Scharfschützengewehre verursachen [decea3]25%[-] mehr Schaden, zielen besser und laden [decea3]20%[-] schneller nach. Das Zielen verbraucht [decea3]30%[-] weniger Ausdauer und aufeinanderfolgende Kills können einen Bonusschaden von bis zu [decea3]50%[-] für die Kill-Serie auslösen."
perkArchery1,"Bögen und Armbrüste haben [decea3]+5%[-] Schaden, Zielgenauigkeit, Zieh- und Nachladegeschwindigkeit"
perkArchery2,"Bögen und Armbrüste haben [decea3]+10%[-] Schaden, Zielgenauigkeit, Zieh- und Nachladegeschwindigkeit"
perkArchery3,"Bögen und Armbrüste haben [decea3]+15%[-] Schaden, Zielgenauigkeit, Zieh- und Nachladegeschwindigkeit"
perkArchery4,"Bögen und Armbrüste haben [decea3]+20%[-] Schaden, Zielgenauigkeit, Zieh- und Nachladegeschwindigkeit"
perkArchery5,"Bögen und Armbrüste haben [decea3]+25%[-] Schaden, Zielgenauigkeit, Zieh- und Nachladegeschwindigkeit"
perkPolearms,"Stabwaffen-Spezialist"
perkPolearmsDesc,"Lerne, mit Stabwaffen mehr Schaden anzurichten."
perkPolearms1,"Stabwaffen wie Speere, Hellebarden usw. verursachen [decea3]5%[-] mehr Schaden"
perkPolearms2,"Stabwaffen wie Speere, Hellebarden usw. verursachen [decea3]10%[-] mehr Schaden"
perkPolearms3,"Stabwaffen wie Speere, Hellebarden usw. verursachen [decea3]15%[-] mehr Schaden"
perkPolearms4,"Stabwaffen wie Speere, Hellebarden usw. verursachen [decea3]20%[-] mehr Schaden"
perkPolearms5,"Stabwaffen wie Speere, Hellebarden usw. verursachen [decea3]30%[-] mehr Schaden"
perkLockPicking1,"[decea3]+25[-] Schlossknacken\nHaarnadeln haben [decea3]20%[-] mehr Haltbarkeit"
perkLockPicking2,"[decea3]+50[-] Schlossknacken\nHaarnadeln haben [decea3]40%[-] mehr Haltbarkeit"
perkLockPicking3,"[decea3]+75[-] Schlossknacken\nHaarnadeln haben [decea3]60%[-] mehr Haltbarkeit"
perkLockPicking4,"[decea3]+100[-] Schlossknacken\nHaarnadeln haben [decea3]80%[-] mehr Haltbarkeit"
perkTheHuntsman1,"Messer und Waffen ernten [decea3]10%[-] mehr Ressourcen beim Zerlegen von Tieren"
perkTheHuntsman2,"Messer und Waffen ernten [decea3]20%[-] mehr Ressourcen beim Zerlegen von Tieren"
perkTheHuntsman3,"Messer und Waffen ernten [decea3]30%[-] mehr Ressourcen beim Zerlegen von Tieren"
perkTheHuntsman4,"Messer und Waffen ernten [decea3]40%[-] mehr Ressourcen beim Zerlegen von Tieren"
perkTheHuntsman5,"Messer und Waffen ernten [decea3]50%[-] mehr Ressourcen beim Zerlegen von Tieren"
attActionSkillsDesc,"Handlungs-Fertigkeiten steigen passiv auf, wenn du verschiedene Tätigkeiten ausführst.\n\nBei verschiedenen Tätigkeiten steigen unterschiedliche Handlungs-Fertigkeiten auf, z.B. wenn du eine bestimmte Waffe benutzt, eine körperliche Aktivität ausführst usw.\n\nWähle eine der Handlungs-Fertigkeiten aus, um den aktuellen Fertigkeitsfortschritt zu sehen."
actionPerkDesc,"[decea3]Handlungs-Fertigkeit[-]: Die Stufe steigt von selbst an, wenn du eine bestimmte Handlung ausführst oder ein spezielles Fertigkeitsbuch zu dieser Fertigkeit findest und liest.\n\n"
actionPerkSniperRifles,"Scharfschützengewehre"
actionPerkSniperRifles1,"Schaden, Zielgenauigkeit, Verstümmeln [decea3]+5%[-]\nKopfschuss-Schaden [decea3]+10%[-]\nNachladegeschwindigkeit [decea3]+2%[-]"
actionPerkSniperRifles2,"Schaden, Zielgenauigkeit, Verstümmeln [decea3]+10%[-]\nKopfschuss-Schaden [decea3]+20%[-]\nNachladegeschwindigkeit [decea3]+4%[-]\n[decea3]Schaltet das Herstellen von Kaliber .50 BMG Hohlspitzmunition frei[-]"
actionPerkSniperRifles3,"Schaden, Zielgenauigkeit, Verstümmeln [decea3]+15%[-]\nKopfschuss-Schaden [decea3]+30%[-]\nNachladegeschwindigkeit [decea3]+6%[-]"
actionPerkSniperRifles4,"Schaden, Zielgenauigkeit, Verstümmeln [decea3]+20%[-]\nKopfschuss-Schaden [decea3]+40%[-]\nNachladegeschwindigkeit [decea3]+8%[-]"\n[decea3]Schaltet das Herstellen von Kaliber .50 BMG panzerbrechender Munition frei[-]"
actionPerkSniperRifles5,"Schaden, Zielgenauigkeit, Verstümmeln [decea3]+25%[-]\nKopfschuss-Schaden [decea3]+50%[-]\nNachladegeschwindigkeit [decea3]+10%[-]"
actionPerkArchery,"Bögen und Armbrüste"
actionPerkArchery1,"Schaden, Zielgenauigkeit, Verstümmeln [decea3]+5%[-]\nKopfschuss-Schaden [decea3]+10%[-]\nNachlade- und Ziehgeschwindigkeit [decea3]+5%[-]"
actionPerkArchery2,"Schaden, Zielgenauigkeit, Verstümmeln [decea3]+10%[-]\nKopfschuss-Schaden [decea3]+20%[-]\nNachlade- und Ziehgeschwindigkeit [decea3]+10%[-]"
actionPerkArchery3,"Schaden, Zielgenauigkeit, Verstümmeln [decea3]+15%[-]\nKopfschuss-Schaden [decea3]+30%[-]\nNachlade- und Ziehgeschwindigkeit [decea3]+15%[-]"
actionPerkArchery4,"Schaden, Zielgenauigkeit, Verstümmeln [decea3]+20%[-]\nKopfschuss-Schaden [decea3]+40%[-]\nNachlade- und Ziehgeschwindigkeit [decea3]+20%[-]"
actionPerkArchery5,"Schaden, Zielgenauigkeit, Verstümmeln [decea3]+25%[-]\nKopfschuss-Schaden [decea3]+50%[-]\nAuflade- und Ziehgeschwindigkeit [decea3]+25%[-]"
actionPerkSpears,"Stabwaffen"
actionPerkSpears1,"Stabwaffen haben eine um [decea3]5%[-] erhöhte Chance auf Verstümmelung, verursachen [decea3]5%[-] mehr Schaden und haben den erhöhten Kopfschussschaden von [decea3]10%[-]"
actionPerkSpears2,"Stabwaffen haben eine um [decea3]+10%[-] erhöhte Chance auf Verstümmelung, verursachen [decea3]+10%[-] mehr Schaden und haben den erhöhten Kopfschussschaden von [decea3]+20%[-]"
actionPerkSpears3,"Stabwaffen haben eine um [decea3]+15%[-] erhöhte Chance auf Verstümmelung, verursachen [decea3]+15%[-] mehr Schaden und haben den erhöhten Kopfschussschaden von [decea3]+30%[-]"
actionPerkSpears4,"Stabwaffen haben eine um [decea3]+20%[-] erhöhte Chance auf Verstümmelung, verursachen [decea3]+20%[-] mehr Schaden und haben den erhöhten Kopfschussschaden von [decea3]+40%[-]"
actionPerkSpears5,"Stabwaffen haben eine um [decea3]+25%[-] erhöhte Chance auf Verstümmelung, verursachen [decea3]+25%[-] mehr Schaden und haben den erhöhten Kopfschussschaden von [decea3]+50%[-]"
actionPerkLockPicking,"Schlossknacken"
actionPerkLockpickingDesc,"Verbessert deine Fähigkeit, Schlösser zu knacken, und erhöht die Geschwindigkeit, mit der du ein Schloss knacken kannst, um bis zu [decea3]50%[-]. Knacke Schlösser mit Dietrichen, um diese Fertigkeit zu verbessern."
actionPerkLockPicking1,"[decea3]+20[-] Schlossknacken\n Haarnadeln haben [decea3]20%[-] mehr Haltbarkeit"
actionPerkLockPicking2,"[decea3]+40[-] Schlossknacken\nDietriche und Haarnadeln haben [decea3]40%[-] mehr Haltbarkeit"
actionPerkLockPicking3,"[decea3]+60[-] Schlossknacken\nDietriche und Haarnadeln haben [decea3]60%[-] mehr Haltbarkeit"
actionPerkLockPicking4,"[decea3]+80[-] Schlossknacken\nDietriche and Haarnadeln haben [decea3]80%[-] mehr Haltbarkeit"
actionPerkLockPicking5,"[decea3]+100[-] Schlossknacken \nDietriche and Haarnadeln haben [decea3]100%[-] mehr Haltbarkeit"
actionPerkLooting,"Plündern"
actionPerkLooting1,"Plündergeschwindigkeit [decea3]+10%[-]\nBeute-Spielstufe [decea3]+5%[-]"
actionPerkLooting2,"Plündergeschwindigkeit [decea3]+20%[-]\nBeute-Spielstufe [decea3]+10%[-]"
actionPerkLooting3,"Plündergeschwindigkeit [decea3]+30%[-]\nBeute-Spielstufe [decea3]+15%[-]"
actionPerkLooting4,"Plündergeschwindigkeit [decea3]+40%[-]\nBeute-Spielstufe [decea3]+20%[-]"
actionPerkLooting5,"Plündergeschwindigkeit [decea3]+50%[-]\nBeute-Spielstufe [decea3]+25%[-]"
actionPerkButcher,"Tiere zerlegen"
actionPerkButcher1,"Ressourcen beim Zerlegen von Tieren[decea3]+10%[-]"
actionPerkButcher2,"Ressourcen beim Zerlegen von Tieren[decea3]+20%[-]"
actionPerkButcher3,"Ressourcen beim Zerlegen von Tieren[decea3]+30%[-]"
actionPerkButcher4,"Ressourcen beim Zerlegen von Tieren[decea3]+40%[-]"
actionPerkButcher5,"Ressourcen beim Zerlegen von Tieren[decea3]+50%[-]"
attStrengthName,"Stärke"
attStrengthDesc,"Meistere [decea3]Stärke[-]-Fertigkeiten schneller, verbessert Kopfschuss-Schaden und Chance zu Verstümmeln für: [decea3]Maschinengewehre[-], [decea3]Knüppel[-] und [decea3]Vorschlaghämmer[-]"
attStrengthDesc01,"Fertigkeits-EXP [decea3]+10%[-]\nKopfschuss-Schaden [decea3]+4%[-]\nChance zu Verstümmeln [decea3]+1,5%[-]"
attStrengthDesc02,"Fertigkeits-EXP [decea3]+20%[-]\nKopfschuss-Schaden [decea3]+8%[-]\nChance zu Verstümmeln [decea3]+3%[-]"
attStrengthDesc03,"Fertigkeits-EXP [decea3]+30%[-]\nKopfschuss-Schaden [decea3]+12%[-]\nChance zu Verstümmeln [decea3]+4,5%[-]"
attStrengthDesc04,"Fertigkeits-EXP [decea3]+40%[-]\nKopfschuss-Schaden [decea3]+16%[-]\nChance zu Verstümmeln [decea3]+6%[-]"
attStrengthDesc05,"Fertigkeits-EXP [decea3]+50%[-]\nKopfschuss-Schaden [decea3]+20%[-]\nChance zu Verstümmeln [decea3]+7,5%[-]"
attStrengthDesc06,"Fertigkeits-EXP [decea3]+60%[-]\nKopfschuss-Schaden [decea3]+24%[-]\nChance zu Verstümmeln [decea3]+9%[-]"
attStrengthDesc07,"Fertigkeits-EXP [decea3]+70%[-]\nKopfschuss-Schaden [decea3]+28%[-]\nChance zu Verstümmeln [decea3]+10,5%[-]"
attStrengthDesc08,"Fertigkeits-EXP [decea3]+80%[-]\nKopfschuss-Schaden [decea3]+32%[-]\nChance zu Verstümmeln [decea3]+12%[-]"
attStrengthDesc09,"Fertigkeits-EXP [decea3]+90%[-]\nKopfschuss-Schaden [decea3]+36%[-]\nChance zu Verstümmeln [decea3]+13,5%[-]"
attStrengthDesc10,"Fertigkeits-EXP [decea3]+100%[-]\nKopfschuss-Schaden [decea3]+40%[-]\nChance zu Verstümmeln [decea3]+15%[-]"
skillStrengthGeneralName,"Muskeln"
skillStrengthConstructionName,"Bergbau"
perkMachineGunner1,"Maschinengewehre haben [decea3]5%[-] mehr Schaden, Feuerrate und Nachladegeschwindigkeit"
perkMachineGunner2,"Maschinengewehre haben [decea3]10%[-] mehr Schaden, Feuerrate und Nachladegeschwindigkeit"
perkMachineGunner3,"Maschinengewehre haben [decea3]15%[-] mehr Schaden, Feuerrate und Nachladegeschwindigkeit\n\n[decea3]Kommando-Adrenalin:[-]\n [decea3]+2[-] Ausdauer bei jedem erfolgreichen Schuss"
perkMachineGunner4,"Maschinengewehre haben [decea3]20%[-] mehr Schaden, Feuerrate und Nachladegeschwindigkeit\n\n[decea3]Kommando-Adrenalin:[-]\n [decea3]+4[-] Ausdauer bei jedem erfolgreichen Schuss"
perkMachineGunner5,"Maschinengewehre haben [decea3]25%[-] mehr Schaden, Feuerrate und Nachladegeschwindigkeit\n\n[decea3]Kommando-Adrenalin:[-]\n [decea3]+6[-] Ausdauer bei jedem erfolgreichen Schuss"
